UF,CIDADE / MUNICÍPIO,BAIRRO,RUA,CEP,CANAL,NOME FANTASIA,CLASSIFICAÇÃO,SEGUNDA A SEXTA,SÁBADOS,DOMINGOS E FERIADOS,Latitude,Longitude,Endereço Completo,Tipo Consulta,Precisão,Erro
PB,BOM JESUS,CENTRO,"RUA MANOEL A.F. FIGUEIREDO, 42",58930970,CORREIOS,AC BOM JESUS,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-6.81600419939654,-38.6558296915568,"Rua Manoel Antonio Furtado Figueiredo 42, Centro - Bom Jesus, PB",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
PI,BOM JESUS,CENTRO,"RUA TABELIÃO RAIMUNDO JOSÉ ROCHA, S/N",64900970,CORREIOS,AC BOM JESUS,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-9.07234145069368,-44.3527172247862,"Rua Tabeliao Raimundo Jose Rocha , Centro - Bom Jesus, PI",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
RN,BOM JESUS,CENTRO,"RUA ANTONIO XAVIER, 36 - CENTRO",59270970,CORREIOS,AC BOM JESUS,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-5.98341551810708,-35.5808037444364,"Rua Antonio Xavier 36, Bom Jesus - Bom Jesus, RN",LOGRADOURO,NÚMERO DE PORTA,
RS,BOM JESUS,CENTRO,"RUA JULIO DE CASTILHOS, 396",95290970,POSTO DE ATENDIMENTO,FARMACIA BOM JESUS,EAM,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-28.6684949505488,-50.4326294994249,"Rua Julio De Castilhos 396, Centro - Bom Jesus, RS",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
BA,BOM JESUS DA LAPA,CENTRO,"AV ALMIRANTE BEIRUT, 1",47600970,CORREIOS,AC BOM JESUS DA LAPA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-13.2606169458225,-43.4142552952418,"Avenida Almirante Beirut 1, Centro - Bom Jesus Da Lapa, BA",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
MG,BOM JESUS DA PENHA,CENTRO,PRACA DOM INACIO 200,37948970,CORREIOS,AC BOM JESUS DA PENHA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-21.0132576649554,-46.5224464156925,"Praca Dom Inacio 200, Centro - Bom Jesus Da Penha, MG",LOGRADOURO,NÚMERO DE PORTA,
BA,BOM JESUS DA SERRA,CENTRO,"PC VITORINO JOSE ALVES, 384",45263970,CORREIOS,AC BOM JESUS DA SERRA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-14.3778655932483,-40.504226925598,"Praca Vitorino Jose Alves 384, Centro - Bom Jesus Da Serra, BA",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
MA,BOM JESUS DAS SELVAS,CENTRO,"RUA DOS JAMBEIROS, 107",65395970,CORREIOS,AC BOM JESUS DA SELVA,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-4.48143492091694,-46.8480827227321,"Rua Dos Jambeiros 107, Centro - Bom Jesus Das Selvas, MA",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
GO,BOM JESUS DE GOIAS,SETOR CENTRAL,AV. FREDERICO SARAIVA,75570970,CORREIOS,AC BOM JESUS DE GOIÁS,ATC,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-18.2234493459068,-49.7291045104112,"Avenida Frederico Saraiva , Sao Central - Bom Jesus De Goias, GO",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
MG,BOM JESUS DO AMPARO,CENTRO,"RUA NINICO DIAS, 55",35908000,POSTO DE ATENDIMENTO,ADRIANA SILVA GUERRA,EAM,09:00 às 18:00,NÃO FUNCIONA,NÃO FUNCIONA,-19.7048340620107,-43.4733696735135,"Rua Ninico Dias 55, Centro - Bom Jesus Do Amparo, MG",LOGRADOURO,INTERPOLAÇÃO DE NUMERAÇÃO DO SEGMENTO,
